31-03-2026 20:08:54 | GET | cafeteria-api/produtos
31-03-2026 20:08:54 | GET | cafeteria-api/produtos
31-03-2026 20:08:54 | GET | cafeteria-api/produtos
31-03-2026 20:08:54 | GET | cafeteria-api/produtos
31-03-2026 20:08:55 | GET | cafeteria-api/produtos
31-03-2026 20:08:55 | GET | cafeteria-api/produtos
31-03-2026 20:08:55 | GET | cafeteria-api/produtos
31-03-2026 20:10:19 | GET | cafeteria-api/produtos
31-03-2026 20:10:44 | GET | cafeteria-api/produtos
31-03-2026 20:10:47 | GET | cafeteria-api/produtos
31-03-2026 20:13:24 | GET | cafeteria-api/produtos
31-03-2026 20:13:57 | GET | cafeteria-api/produtos
31-03-2026 20:13:58 | GET | cafeteria-api/produtos
31-03-2026 20:13:59 | GET | cafeteria-api/produtos
31-03-2026 20:13:59 | GET | cafeteria-api/produtos
31-03-2026 20:14:00 | GET | cafeteria-api/produtos
31-03-2026 20:14:00 | GET | cafeteria-api/produtos
31-03-2026 20:15:31 | GET | cafeteria-api/produtos
31-03-2026 20:15:31 | GET | cafeteria-api/produtos
31-03-2026 20:16:04 | GET | cafeteria-api/produtos
31-03-2026 20:16:38 | GET | cafeteria-api/produtos
31-03-2026 20:16:57 | GET | cafeteria-api/produtos
31-03-2026 20:18:19 | GET | cafeteria-api/produtos
31-03-2026 20:18:50 | GET | cafeteria-api/produtos
31-03-2026 20:20:54 | GET | cafeteria-api/produtos
31-03-2026 20:21:56 | GET | cafeteria-api/produtos
31-03-2026 20:21:59 | GET | cafeteria-api/produtos
31-03-2026 20:47:42 | GET | cafeteria-api/produtos
31-03-2026 20:47:57 | GET | cafeteria-api/produtos
31-03-2026 20:52:47 | GET | cafeteria-api/produtos
31-03-2026 20:52:48 | GET | cafeteria-api/produtos
07-04-2026 12:51:09 | GET | cafeteria-api/produtos
07-04-2026 12:55:47 | GET | cafeteria-api/produtos
07-04-2026 12:56:13 | GET | cafeteria-api/produtos
07-04-2026 12:57:41 | GET | cafeteria-api/produtos
07-04-2026 13:00:06 | GET | cafeteria-api/produtos
07-04-2026 13:01:43 | GET | cafeteria-api/produtos
07-04-2026 13:02:05 | GET | cafeteria-api/produtos
07-04-2026 13:09:27 | GET | cafeteria-api/produtos
07-04-2026 13:21:19 | GET | cafeteria-api/produtos
07-04-2026 13:21:25 | OPTIONS | cafeteria-api/produtos/2
07-04-2026 13:21:25 | DELETE | cafeteria-api/produtos/2
07-04-2026 13:24:36 | OPTIONS | cafeteria-api/produtos/1
07-04-2026 13:24:36 | DELETE | cafeteria-api/produtos/1
07-04-2026 13:26:05 | GET | cafeteria-api/produtos
07-04-2026 13:29:32 | GET | cafeteria-api/produtos
07-04-2026 13:29:37 | GET | cafeteria-api/produtos
07-04-2026 13:31:42 | GET | cafeteria-api/produtos
07-04-2026 13:31:52 | GET | cafeteria-api/produtos
07-04-2026 13:32:05 | OPTIONS | cafeteria-api/produtos
07-04-2026 13:32:06 | POST | cafeteria-api/produtos
07-04-2026 13:32:06 | GET | cafeteria-api/produtos
07-04-2026 13:33:52 | OPTIONS | cafeteria-api/produtos
07-04-2026 13:33:52 | POST | cafeteria-api/produtos
07-04-2026 13:34:32 | GET | cafeteria-api/produtos
07-04-2026 13:34:48 | POST | cafeteria-api/produtos
07-04-2026 13:40:39 | GET | cafeteria-api/produtos
07-04-2026 13:40:57 | OPTIONS | cafeteria-api/produtos
07-04-2026 13:40:57 | POST | cafeteria-api/produtos
07-04-2026 13:44:25 | GET | cafeteria-api/produtos
07-04-2026 13:44:27 | GET | cafeteria-api/produtos
07-04-2026 13:44:28 | GET | cafeteria-api/produtos
07-04-2026 13:44:28 | GET | cafeteria-api/produtos
07-04-2026 13:44:28 | GET | cafeteria-api/produtos
07-04-2026 13:52:29 | GET | cafeteria-api/produtos
07-04-2026 13:52:48 | OPTIONS | cafeteria-api/produtos
07-04-2026 13:52:48 | POST | cafeteria-api/produtos
07-04-2026 13:52:48 | GET | cafeteria-api/produtos
07-04-2026 13:52:51 | GET | cafeteria-api/produtos
07-04-2026 13:52:51 | GET | cafeteria-api/produtos
07-04-2026 13:53:41 | OPTIONS | cafeteria-api/produtos
07-04-2026 13:53:41 | POST | cafeteria-api/produtos
07-04-2026 13:53:41 | GET | cafeteria-api/produtos
07-04-2026 13:54:01 | OPTIONS | cafeteria-api/produtos
07-04-2026 13:54:01 | POST | cafeteria-api/produtos
07-04-2026 13:54:01 | GET | cafeteria-api/produtos
07-04-2026 13:54:15 | OPTIONS | cafeteria-api/produtos
07-04-2026 13:54:15 | POST | cafeteria-api/produtos
07-04-2026 13:54:15 | GET | cafeteria-api/produtos
07-04-2026 13:54:27 | OPTIONS | cafeteria-api/produtos
07-04-2026 13:54:27 | POST | cafeteria-api/produtos
07-04-2026 13:54:27 | GET | cafeteria-api/produtos
07-04-2026 13:56:33 | GET | cafeteria-api/produtos
07-04-2026 13:58:20 | GET | cafeteria-api/produtos
07-04-2026 13:59:01 | GET | cafeteria-api/produtos
07-04-2026 14:01:52 | GET | cafeteria-api/produtos
07-04-2026 14:02:04 | GET | cafeteria-api/produtos
07-04-2026 14:05:05 | GET | cafeteria-api/produtos
07-04-2026 14:06:38 | GET | cafeteria-api/produtos
07-04-2026 14:11:19 | GET | cafeteria-api/produtos
07-04-2026 14:11:54 | GET | cafeteria-api/produtos
07-04-2026 14:13:21 | GET | cafeteria-api/produtos
07-04-2026 14:15:45 | POST | cafeteria-api/produtos
07-04-2026 14:15:54 | POST | cafeteria-api/produtos
07-04-2026 14:15:55 | POST | cafeteria-api/produtos
07-04-2026 14:16:00 | GET | cafeteria-api/produtos
07-04-2026 14:16:06 | POST | cafeteria-api/produtos
07-04-2026 14:18:22 | POST | cafeteria-api/produtos
07-04-2026 14:18:23 | POST | cafeteria-api/produtos
07-04-2026 14:18:23 | POST | cafeteria-api/produtos
07-04-2026 14:18:23 | POST | cafeteria-api/produtos
07-04-2026 14:18:24 | POST | cafeteria-api/produtos
07-04-2026 14:18:24 | POST | cafeteria-api/produtos
07-04-2026 14:29:27 | GET | cafeteria-api/produtos
07-04-2026 14:31:49 | GET | cafeteria-api/produtos
07-04-2026 14:31:57 | GET | cafeteria-api/produtos
07-04-2026 14:32:11 | GET | cafeteria-api/produtos
07-04-2026 14:37:14 | GET | cafeteria-api/produtos
07-04-2026 14:37:15 | GET | cafeteria-api/produtos
07-04-2026 14:37:22 | GET | cafeteria-api/produtos
07-04-2026 14:37:22 | GET | cafeteria-api/produtos
07-04-2026 14:37:23 | GET | cafeteria-api/produtos
07-04-2026 14:37:23 | GET | cafeteria-api/produtos
07-04-2026 14:37:39 | OPTIONS | cafeteria-api/produtos
07-04-2026 14:37:39 | POST | cafeteria-api/produtos
07-04-2026 14:37:39 | GET | cafeteria-api/produtos
07-04-2026 14:38:03 | OPTIONS | cafeteria-api/produtos
07-04-2026 14:38:03 | POST | cafeteria-api/produtos
07-04-2026 14:38:24 | OPTIONS | cafeteria-api/produtos
07-04-2026 14:38:24 | POST | cafeteria-api/produtos
07-04-2026 14:38:34 | OPTIONS | cafeteria-api/produtos
07-04-2026 14:38:34 | POST | cafeteria-api/produtos
07-04-2026 14:38:35 | POST | cafeteria-api/produtos
07-04-2026 14:38:35 | POST | cafeteria-api/produtos
07-04-2026 14:38:36 | POST | cafeteria-api/produtos
07-04-2026 14:38:45 | OPTIONS | cafeteria-api/produtos
